ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 7 45359 11 45614 12 45869 13 46125 13 46380 14 46637 12 46894 10 47150 9 47408 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,28248 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50025 4 50280 6 50534 10 50788 13 51043 14 51298 16 51553 17 51809 17 52065 17 52321 16 52577 16 52833 16 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 8 11402 9 11657 10 11911 12 12167 12 12422 13 12678 13 12934 12 13189 13 13445 12 13702 11 13958 10 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31630 9 31885 11 32139 14 32394 15 32649 17 32904 18 33160 18 33415 19 33671 18 33927 18 34183 17 34439 17 34696 14 34952 12 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51097 6 51351 9 51606 10 51861 11 52116 11 52371 12 52626 13 52882 12 53137 13 53393 11 53649 10 53905 9 54161 8 54417 8 54674 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 4 31388 6 31644 6 31900 6 32156 6 32412 6 32669 5 32926 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38819 6 39074 8 39328 10 39583 11 39838 12 40094 12 40350 12 40606 11 40862 11 41119 10 41375 9 41631 8 41888 6 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,48269 1 48787 3 49306 5 49825 5 50344 5 50363 4 50863 6 50882 5 51382 7 51400 7 51901 7 51919 7 52420 7 52438 8 52939 9 52957 10 53458 9 53476 10 53977 9 53995 10 54496 11 54513 12 55015 14 55031 14 55534 30 56053 30 56572 31 57091 32 57610 32 58129 32 58648 32 59167 32 59686 33 60205 34 60724 35 61243 35 61762 34 62281 34 62800 33 63319 32 63838 32 64357 30 64876 30 65395 30 65914 30 66434 29 66953 30 67473 30 67992 30 68511 32 69030 34 69549 35 70069 34 70589 34 71109 34 71629 33 72149 34 72670 33 73189 33 73708 34 74228 34 74749 32 75269 32 75310 3 75789 32 75828 7 76308 33 76345 9 76827 49 77344 51 77863 52 78382 53 78901 53 79420 53 79939 53 80458 53 80976 54 81491 58 82010 58 82529 58 83048 59 83567 60 84088 58 84607 58 85126 58 85646 57 86166 56 86686 55 87205 55 87724 53 88243 53 88762 53 89281 53 89802 51 90321 49 90840 49 91359 49 91878 50 92398 50 92918 49 93437 49 93957 50 94477 49 94997 50 95516 53 96036 54 96556 54 97075 55 97594 55 98113 56 98633 57 99153 56 99672 56 100191 56 100710 58 101229 58 101749 59 102269 58 102788 35 102825 21 103308 24 103336 4 103345 21 103827 29 103865 22 104348 28 104385 21 104869 26 104904 21 105389 26 105423 22 105909 26 105942 23 106430 24 106462 22 106951 22 106982 22 107473 20 107503 21 107993 20 108023 20 108514 19 108543 19 109033 20 109063 18 109554 19 109582 20 110073 21 110102 20 110593 20 110622 19 111113 20 111143 19 111633 19 111663 19 112153 19 112184 19 112673 18 112703 21 113192 20 113223 20 113713 19 113743 21 114232 19 114261 23 114751 21 114777 27 115271 20 115296 27 115791 21 115814 29 116310 21 116333 30 116830 21 116852 31 117350 22 117373 29 117870 21 117893 30 118389 21 118413 29 118909 52 119429 53 119948 53 120467 53 120987 53 121507 53 122026 54 122546 54 123066 54 123586 53 124105 53 124625 53 125146 52 125667 52 126188 51 126252 5 126707 52 126769 9 127228 51 127287 12 127747 53 127805 14 128266 54 128323 15 128786 71 129306 71 129826 4 129834 63 130354 12 130367 49 130902 32
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119372 1 119890 3 120409 4 120928 5 121447 5 121966 5 122485 6 123004 7 123523 7 124042 7 124561 7 125080 7 125599 7 126118 7 126637 7 127156 7 127675 7 128194 7 128713 6 129232 5 129752 3
