trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-106.7551280951012,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-221.9583165261685,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-320.2006276082454,"{0: 18, 1: 4, 2: 4, 3: 4, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,5,-63.49110015894009,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-61.24584286864365,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-113.42379774535888,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-104.05366149703367,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-82.85825827213995,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-3.419188289591992,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-68.43895223091572,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-117.76557354346056,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,13,-69.9650642971945,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,17,-26.34735698061597,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,5.345541216878627,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,3,-41.281378424649816,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-22.069182615224086,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,16.879594445311593,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,25.10319025108351,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,4.806828671838371,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",20,0,21.865512664544468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,14,12.915753043641338,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,31.318528586653898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,18.80689857341733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,5,23.63211753550255,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",35,22,25.92122770381726,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,7,24.810807372156255,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,24.266941257702662,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,17,10.60315301424287,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,14,29.52209914636557,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,11,16.353366517576646,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
