trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.72644354547117,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.3637725427393,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.92991054867575,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.46800167327638,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.3952743119813,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.84266079679715,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-9.948422731643923,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-239.48541064485318,"{0: 6, 1: 3, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.95665733873037,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.57099305707485,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.05103992346275,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.6358440234629,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-109.42024449459758,"{0: 23, 1: 2, 2: 8, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.21511174843337,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.01120241598204,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.01314315835336,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.0939677310178,"{0: 9, 1: 1, 2: 3, 3: 4, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.57017635190764,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.99156101165346,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.52416587870452,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.47237347896726,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.84813146678187,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.67336550950245,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,13,-13.491474680001586,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.22029915408163,"{0: 19, 1: 1, 2: 4, 3: 3, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.7386859415982,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.61941380094875,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.4241296410302,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,1,-142.80513782091717,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.77260711259217,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
