trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.00103087761904,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-163.16111562137746,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-91.41288822767733,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-104.28959026975116,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-133.359360589451,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-116.68958404344968,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-116.86059282461864,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-219.1196244465309,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,2.6558098365891203,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-123.70924522834194,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-60.81243943496524,"{0: 27, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,3.6055920293257735,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-33.5068603391838,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-33.64115757046513,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,10,-25.80404391497761,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-50.11171246114036,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-55.32708207259579,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-50.716985884979536,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-21.212530382508174,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0}",30,4,21.62377208428315,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,6,4.297171298412156,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,1.1719106205125989,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,4,-19.38656224604743,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,6,-29.73402103960547,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,7,-32.36426027065443,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-49.08359994598684,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,15,-92.84436551558899,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-59.85635799214422,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,19,-24.18025470879609,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-28.523320281626894,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
