trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-168.13086666820882,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.25}",20,5,-18.03929020330697,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.1111111111111111}",20,0,-19.95523835895399,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.0625}",25,0,15.842930490410659,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.75, 'e': 0.04}",25,18,14.467616463915963,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.75, 'e': 0.027777777777777776}",25,5,25.64143664700584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.75, 'e': 0.02040816326530612}",25,0,-10.513545932804886,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.015625}",25,0,14.321934947558159,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.012345679012345678}",20,0,-19.171742504570055,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.01}",20,4,17.54790798160756,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.75, 'e': 0.008264462809917356}",20,0,27.65299555146087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.006944444444444444}",20,0,28.547416898161458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.005917159763313609}",20,0,23.591807249943294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.00510204081632653}",25,1,36.713436281403084,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 0.0044444444444444444}",25,14,-21.904503557329008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.75, 'e': 0.00390625}",20,0,24.95137148986751,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.75, 'e': 0.0034602076124567475}",25,16,14.834676419232558,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.0030864197530864196}",20,7,22.38389958041616,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
